頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 148 ,TW0006722002,6722,輝創,興櫃 ,股票,其他電子業,2023/05/11,ESVUFR,
 149 ,TW0006723000,6723,傑智環境,興櫃 ,股票,綠能環保,2018/12/26,ESVUFR,
 150 ,TW0006725005,6725,矽科宏晟,興櫃 ,股票,其他電子業,2023/01/09,ESVUFR,
 151 ,TW0006729007,6729,機光科技,興櫃 ,股票,光電業,2019/07/04,ESVUFR,
 152 ,TW0006730005,6730,常廣,興櫃 ,股票,生技醫療業,2019/11/08,ESVUFR,
 153 ,TW0006734007,6734,安盛生,興櫃 ,股票,生技醫療業,2019/06/28,ESVUFR,
 154 ,TW0006737000,6737,秀育,興櫃 ,股票,電腦及週邊設備業,2019/12/30,ESVUFR,
 155 ,TW0006738008,6738,鼎恒,興櫃 ,股票,資訊服務業,2019/08/23,ESVUFR,
 156 ,TW0006739006,6739,竹陞科技,興櫃 ,股票,其他電子業,2021/05/06,ESVUFR,
 157 ,TW0006744006,6744,豐技生技,興櫃 ,股票,生技醫療業,2019/09/25,ESVUFR,
 158 ,TW0006748007,6748,亞果生醫,興櫃 ,股票,生技醫療業,2021/07/27,ESVUFR,
 159 ,TW0006750003,6750,泰創工程,興櫃 ,股票,其他電子業,2019/11/11,ESVUFR,
 160 ,TW0006755002,6755,連鋐科技,興櫃 ,股票,電子零組件業,2019/12/05,ESVUFR,
 161 ,TW0006758006,6758,冠亞,興櫃 ,股票,生技醫療業,2020/01/02,ESVUFR,
 162 ,TW0006764004,6764,亞洲教育,興櫃 ,股票,其他業,2019/11/25,ESVUFR,
 163 ,TW0006775000,6775,穎台科技,興櫃 ,股票,光電業,2020/05/29,ESVUFR,
 164 ,TW0006780000,6780,學習王,興櫃 ,股票,文化創意業,2020/07/23,ESVUFR,
 165 ,TW0006784002,6784,天凱科技,興櫃 ,股票,通信網路業,2020/11/18,ESVUFR,
 166 ,TW0006786007,6786,芯測,興櫃 ,股票,半導體業,2020/08/19,ESVUFR,
