頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 94 ,TW00001016S8,01016S,93中信貸c,上櫃 ,受益證券-資產基礎證券,,2004/08/10,DAVUBR,
 95 ,TW00001017S6,01017S,93中信貸d,上櫃 ,受益證券-資產基礎證券,,2004/08/10,DAVUBR,
 96 ,TW00001111S7,01111S,081中租賃A,上櫃 ,受益證券-資產基礎證券,,2019/12/11,DAFUFR,
 97 ,TW00001112S5,01112S,081中租賃B,上櫃 ,受益證券-資產基礎證券,,2019/12/11,DAFUFR,
 98 ,TW0000200013,020001,富邦存股雙十N,上櫃 ,ETN,,2019/04/30,CMXXXU,
 99 ,TW00002001B5,02001B,統一美國政府債N,上櫃 ,ETN,,2020/12/29,CMXXXU,
 100 ,TW0000200237,020023,元大櫃買半導體N,上櫃 ,ETN,,2020/12/08,CMXXXU,
 101 ,TW0000200252,020025,統一亞洲半導體N,上櫃 ,ETN,,2021/07/22,CMXXXU,
 102 ,TW0000200278,020027,元大上櫃ESG成長N,上櫃 ,ETN,,2021/07/19,CMXXXU,
 103 ,TW0000200336,020033,統一恆生科期N,上櫃 ,ETN,,2022/05/25,CMXXXU,
 104 ,TW0000200351,020035,元大上櫃ESG高息N,上櫃 ,ETN,,2022/10/03,CMXXXU,
 105 ,TW0000200401,020040,元大上櫃ESG龍頭N,上櫃 ,ETN,,2023/12/18,CMXXXU,
 106 ,TW0000200419,020041,兆豐半導體氣候N,上櫃 ,ETN,,2023/12/25,CMXXXU,
 107 ,TW0001240000,1240,茂生農經,上櫃 ,股票,農業科技業,2018/08/08,ESVUFR,
 108 ,TW0001259000,1259,安心,上櫃 ,股票,觀光餐旅,2011/12/15,ESVUFR,
 109 ,TW0001264000,1264,德麥,上櫃 ,股票,食品工業,2015/04/09,ESVUFR,
 110 ,TW0001268001,1268,漢來美食,上櫃 ,股票,觀光餐旅,2017/09/27,ESVUFR,
 111 ,TW0001316404,13164,上曜四,上櫃 ,轉換公司債,,2021/01/29,DCZSDR,
 112 ,TW0001336006,1336,台翰,上櫃 ,股票,電子零組件業,2007/11/02,ESVUFR,
 113 ,TW0001338200,13382,廣華二KY,上櫃 ,轉換公司債,,2023/12/01,DCZUDR,
 114 ,TW0001342103,13421,八貫一,上櫃 ,轉換公司債,,2022/06/02,DCZSGR,
 115 ,TW0001436103,14361,華友聯一,上櫃 ,轉換公司債,,2020/01/17,DCZSDR,
 116 ,TW0001436202,14362,華友聯二,上櫃 ,轉換公司債,,2020/12/01,DCZSDR,
 117 ,TW0001474203,14742,弘裕二,上櫃 ,轉換公司債,,2022/01/26,DCZUGR,
 118 ,TW0001514107,15141,亞力一,上櫃 ,轉換公司債,,2023/08/17,DCZUDR,
 119 ,TW0001526101,15261,日馳一,上櫃 ,轉換公司債,,2023/09/19,DCZUGR,
 120 ,TW0001532406,15324,勤美四,上櫃 ,轉換公司債,,2022/01/24,DCZUDR,
 121 ,TW0001533206,15332,車王電二,上櫃 ,轉換公司債,,2022/01/26,DCZUGR,
 122 ,TW0001560100,15601,中砂一,上櫃 ,轉換公司債,,2024/06/24,DCZUDR,
 123 ,TW0001565000,1565,精華,上櫃 ,股票,生技醫療業,2004/03/30,ESVUFR,
 124 ,TW0001569002,1569,濱川,上櫃 ,股票,電腦及週邊設備業,2005/07/29,ESVUFR,
 125 ,TW0001570000,1570,力肯,上櫃 ,股票,電機機械,2005/06/30,ESVUFR,
 126 ,TW0001580009,1580,新麥,上櫃 ,股票,電機機械,2007/12/10,ESVUFR,
 127 ,TW0001582302,15823,信錦三,上櫃 ,轉換公司債,,2021/09/09,DCZUGR,
 128 ,TW0001584001,1584,精剛,上櫃 ,股票,其他業,2007/11/28,ESVUFR,
 129 ,TW0001586006,1586,和勤,上櫃 ,股票,電機機械,2012/01/09,ESVUFR,
 130 ,TW0001586402,15864,和勤四,上櫃 ,轉換公司債,,2023/08/30,DCZSGR,
 131 ,TW0001586501,15865,和勤五,上櫃 ,轉換公司債,,2023/08/31,DCZUGR,
 132 ,TW0001589307,15893,永冠三KY,上櫃 ,轉換公司債,,2020/09/03,DCZUDR,
 133 ,TW0001589406,15894,永冠四KY,上櫃 ,轉換公司債,,2023/02/20,DCZUDR,
 134 ,KYG4782L1023,1591,駿吉-KY,上櫃 ,股票,電機機械,2012/03/23,ESVUFR,
 135 ,TW0001593002,1593,祺驊,上櫃 ,股票,運動休閒,2012/06/13,ESVUFR,
 136 ,TW0001595007,1595,川寶,上櫃 ,股票,電子零組件業,2011/10/04,ESVUFR,
 137 ,TW0001598308,15983,岱宇三,上櫃 ,轉換公司債,,2021/06/28,DCZUDR,
 138 ,TW0001599009,1599,宏佳騰,上櫃 ,股票,電機機械,2012/12/25,ESVUFR,
 139 ,TW0001599108,15991,宏佳騰一,上櫃 ,轉換公司債,,2022/11/18,DCZSGR,
 140 ,TW0001617306,16173,榮星三,上櫃 ,轉換公司債,,2022/03/02,DCZUDR,
